id_abono,cantidad,fecha,valor_nebcoin
1,1920047,31/07/2014,225
2,1836683,3/06/2014,293
3,2174286,16/05/2014,213
4,1019974,10/06/2014,221
5,1919201,4/01/2014,295
6,1748664,24/02/2014,211
7,2501176,8/07/2014,292
8,1179404,4/07/2014,315
9,1417089,2/04/2014,317
10,1197394,29/04/2014,241
11,1714869,10/09/2014,341
12,2604645,23/03/2014,200
13,250415,4/05/2014,324
14,2942645,10/04/2014,255
15,1284715,28/02/2014,291
16,2881982,22/09/2014,324
17,1782388,8/08/2014,217
18,1436095,18/10/2014,315
19,1980812,27/09/2014,242
20,1189960,17/12/2014,321
21,1539325,29/12/2014,241
22,1777585,4/03/2014,267
23,1084676,15/09/2014,269
24,1475099,21/09/2014,271
25,1113651,8/12/2014,233
26,1678715,19/03/2014,323
27,1685039,24/05/2014,239
28,1536947,9/09/2014,341
29,1941607,28/09/2014,220
30,2514433,18/07/2014,241
31,2337582,28/10/2014,330
32,1370844,22/01/2014,338
