119,"Old Navy",jonadab@sbcglobal.net
120,"Dick's Sporting Goods",ryanvm@aol.com
121,"Big Bang Bicycles",mjewell@optonline.net
122,"American Thrift Center",pajas@comcast.net
123,"Cindy Esser's Floral Shop",denism@icloud.com
124,"Red White & Blue Thrift Store",symbolic@yahoo.ca
125,"Paul's Clock Repair",dkrishna@msn.com
127,Homecenter,mhassel@mac.com
128,"Casa Ideas",giafly@sbcglobal.net
129,Adidas,martyloo@hotmail.com
130,"Porto Fino",esbeck@msn.com
131,"Paddy's House",frostman@yahoo.com
132,Nike,iapetus@sbcglobal.net
134,Apple,scotfl@gmail.com
135,Jumbo,sekiya@yahoo.ca
136,Loft,catalog@gmail.com
137,"North Face",chaki@msn.com
138,Assoto,alfred@hotmail.com
139,"Rapa Nui",mddallara@yahoo.com
140,"Hoyts Cinema",sisyphus@me.com
141,"Tom Bradley Airport",burns@msn.com
142,Metro,brainless@live.com
143,"Shop 'n Save",parents@yahoo.ca
145,"Latina Pizza",hamilton@hotmail.com
146,"Bellisario Pizza Shop",jimxugle@live.com
147,"Hunan Wok Chinese Restaurant",moonlapse@outlook.com
148,"Minerva Bakery",delpino@optonline.net
149,"Pierogies Plus",ullman@optonline.net
150,"Marge's Place",wkrebs@att.net
151,"Applebee's",nullchar@verizon.net
152,"R & B's Pizza Place",monkeydo@optonline.net
153,"Luigi's Pizzeria",mcrawfor@sbcglobal.net
154,"Donald's",gslondon@att.net
155,"China Sea Chinese Restaurant",matloff@verizon.net
156,"Avalon Motel",geekgrl@hotmail.com
157,"Star Nails",dobey@optonline.net
158,Vivo,crypt@comcast.net
159,"Remember When",msusa@live.com
160,"Pistella Beer Distributors",staikos@msn.com
